date,ticker,count,close,sentiment,prop,n_posts,stock_post,count_post,sentiment_post,count_above,stock_above,sentiment_above
2021-06-11,AMC,39,49.400002,0.5313641025641026,0.10833333333333334,360,0.008,0.032,0,FALSE,FALSE,FALSE
2021-06-12,AMC,23,49.400002,0.3617304347826087,0.1036036036036036,222,0.004,0.036,0,FALSE,FALSE,FALSE
2021-06-13,AMC,1,49.400002,-0.9723,0.1,10,1,0.032,0,FALSE,TRUE,FALSE
2021-06-15,AMC,9,59.040001,0.7620222222222222,0.08737864077669903,103,0.032,0.036,0,FALSE,FALSE,FALSE
2021-06-16,AMC,19,55.18,0.6016894736842106,0.09743589743589744,195,0.102,0.046,0,FALSE,FALSE,FALSE
2021-06-17,AMC,15,60.73,0.51084,0.09036144578313253,166,0.004,0.036,0,FALSE,FALSE,FALSE
2021-06-18,AMC,17,59.259998,0.39225882352941177,0.10059171597633136,169,0.002,0.038,0,FALSE,FALSE,FALSE
2021-06-19,AMC,8,59.259998,0.5669875,0.07017543859649122,114,0.01,0.206,0,FALSE,FALSE,FALSE
2021-06-20,AMC,9,59.259998,0.26524444444444445,0.16071428571428573,56,0.192,0.078,0,FALSE,FALSE,FALSE
2021-06-21,AMC,7,55.689999,0.5619142857142857,0.11475409836065574,61,0.01,0.68,0,FALSE,FALSE,FALSE
2021-06-22,AMC,10,58.27,0.79779,0.0641025641025641,156,0.036,0.272,0,FALSE,FALSE,FALSE
2021-06-23,AMC,10,58.299999,0.45435,0.05555555555555555,180,0.624,0.088,0,FALSE,FALSE,FALSE
2021-06-24,AMC,6,56.700001,0.61975,0.03508771929824561,171,0.198,0.038,0,FALSE,FALSE,FALSE
2021-06-25,AMC,6,54.060001,0.4819833333333333,0.047244094488188976,127,0.004,0.042,0,FALSE,FALSE,FALSE
2021-06-26,AMC,6,54.060001,0.5324666666666666,0.05042016806722689,119,0.07,0.068,0,FALSE,FALSE,FALSE
2021-06-28,AMC,0,58.110001,NA,0,11,0.006,0.058,0,FALSE,FALSE,FALSE
2021-06-29,AMC,13,56.43,0.45587692307692307,0.0593607305936073,219,0.004,0.054,0,FALSE,FALSE,FALSE
2021-06-30,AMC,1,56.68,0.9789,0.018867924528301886,53,0.186,0.14,0,FALSE,FALSE,FALSE
2021-07-01,AMC,6,54.220001,0.9107666666666667,0.04,150,0.83,0.22,0,FALSE,TRUE,FALSE
2021-07-02,AMC,7,51.959999,0.6992857142857143,0.06363636363636363,110,0.01,0.082,0,FALSE,FALSE,FALSE
2021-07-03,AMC,4,51.959999,0.93675,0.04819277108433735,83,0.01,0.188,0,FALSE,FALSE,FALSE
2021-07-04,AMC,3,51.959999,-0.14270000000000002,0.07692307692307693,39,0.006,0.066,0,FALSE,FALSE,FALSE
2021-07-05,AMC,3,51.959999,0.9839666666666667,0.0967741935483871,31,0.062,0.054,0,FALSE,FALSE,FALSE
2021-07-06,AMC,4,49.959999,0.73935,0.04597701149425287,87,0.978,0.044,0,FALSE,TRUE,FALSE
2021-07-07,AMC,2,45.07,0.4215,0.06451612903225806,31,0.004,0.042,0,FALSE,FALSE,FALSE
2021-07-08,AMC,7,47.939999,0.7210428571428571,0.07216494845360824,97,0.008,0.032,0,FALSE,FALSE,FALSE
2021-07-09,AMC,3,46.189999,0.9717666666666667,0.04054054054054054,74,0,0.062,0,FALSE,FALSE,FALSE
